rank,location,snowfall,state,city,lat,long,elevation
1,VALDEZ,316.8,AK,Valdez,61.1299396,-146.3493638,6.8
2,MT. WASHINGTON,260,NH,Mt. Washington,44.27046,-71.3035311,1913.4
3,BLUE CANYON,240.3,CA,Blue Canyon,39.2572753,-120.7108253,1405.3
4,YAKUTAT,190.3,AK,Yakutat,59.5727345,-139.578312438781,26
5,MARQUETTE,149.1,MI,Marquette,46.5434914,-87.396433,
6,SYRACUSE,119.3,NY,Syracuse,43.0481221,-76.1474244,
7,SAULT STE. MARIE,116.7,MI,Sault Ste. Marie,46.490586,-84.359269,
8,TALKEETNA,115.4,AK,Talkeetna,62.3238312,-150.1088818,106.2
9,CARIBOU,112.2,ME,Caribou,46.8605567,-68.0119677,136
10,MOUNT SHASTA,104.9,CA,Mount Shasta,41.4093201,-122.195009,
11,LANDER,101.1,WY,Lander,42.8330755,-108.7307024,
12,FLAGSTAFF,100.9,AZ,Flagstaff,35.199458,-111.6514259,
13,JUNEAU,99,AK,Juneau,58.3019496,-134.419734,10.4
14,SEXTON SUMMIT,97.8,OR,Sexton Summit,NaN,NaN,10.4
15,MUSKEGON,96.3,MI,Muskegon,43.2341813,-86.2483921,187.2
16,ROCHESTER,94.3,NY,Rochester,43.157285,-77.615214,152
17,BUFFALO,94.2,NY,Buffalo,42.8867166,-78.8783922,183.4
18,MCGRATH,93.5,AK,Mcgrath,62.9563889,-155.5958333,101
19,ERIE,92.6,PA,Erie.,42.1290657,-80.0852421,198.7
20,BETTLES,85.8,AK,Bettles,66.9188889,-151.5161111,191.7
21,BINGHAMTON,85.2,NY,Binghamton,42.096968,-75.914341,257.8
22,ALPENA,84.4,MI,Alpena,45.0616794,-83.4327528,179.5
23,DULUTH,81.5,MN,Duluth,46.7729322,-92.1251218,283.9
24,BURLINGTON,80.9,VT,Burlington,44.4723989,-73.2114941,52.2
25,KODIAK,80.3,AK,Kodiak,57.79,-152.4072222,14.1
26,ELKINS,77.1,WV,Elkins,38.925927,-79.8466552,587.1
27,CASPER,76.6,WY,Casper,42.866632,-106.313081,1555.8
28,GRAND RAPIDS,75,MI,Grand Rapids,42.9632405,-85.6678639,193.8
29,HOUGHTON LAKE,74.6,MI,Houghton Lake,44.314739,-84.7647496,348.1
30,ANCHORAGE,72.8,AK,Anchorage,61.2163129,-149.8948523,29.4
31,SHERIDAN,71.4,WY,Sheridan,44.797194,-106.956179,1141.9
32,SOUTH BEND,70.8,IN,South Bend,41.6833813,-86.2500066,210.8
33,PORTLAND,70.5,ME,Portland,43.6610277,-70.2548596,16.1
34,WORCESTER,70,MA,Worcester,42.2625932,-71.8022934,147
35,INTERNATIONAL FALLS,66.5,MN,International Falls,48.601049,-93.410982,340.7
36,NOME,66.3,AK,Nome,64.4989922,-165.398799443163,10.3
37,COLD BAY,66.1,AK,Cold Bay,55.208123,-162.7022283,
38,FAIRBANKS,66.1,AK,Fairbanks,64.837845,-147.716675,135.2
39,CONCORD,65.9,NH,Concord,43.207178,-71.537476,84.9
40,ALBANY,64,NY,Albany,42.6511674,-73.754968,31.4
41,KALISPELL,63.7,MT,Kalispell,48.2022563,-114.3167117,902.4
42,BLUE HILL,61.7,MA,Blue Hill,42.7573805,-70.9159426,8.2
43,BECKLEY,60.6,WV,Beckley,37.7781702,-81.1881557,737.9
44,GREAT FALLS,60.3,MT,Great Falls,47.5048851,-111.2918908,1018.9
45,ST. PAUL ISLAND,60,AK,St. Paul Island,NaN,NaN,1018.9
46,YOUNGSTOWN,60,OH,Youngstown,41.1035786,-80.6520161,269.8
47,CLEVELAND,59.8,OH,Cleveland,41.5051613,-81.6934446,193.6
48,DENVER,59.6,CO,Denver,39.7391536,-104.9847034,1608.6
49,SALT LAKE CITY,58.2,UT,Salt Lake City,40.7670126,-111.8904308,1314.9
50,HOMER,57.8,AK,Homer,59.6440876,-151.5401477,35.8
51,BETHEL,57,AK,Bethel,60.7922222,-161.7558333,1.1
52,CHEYENNE,56.9,WY,Cheyenne,41.139981,-104.820246,1855.6
53,BILLINGS,56.5,MT,Billings,45.7874957,-108.49607,950.9
54,KOTZEBUE,54.5,AK,Kotzebue,66.8982057,-162.5977621,2.9
55,GULKANA,52.2,AK,Gulkana,62.2062625,-145.453178254916,495.2
56,ELY,51.3,NV,Ely,39.2473992,-114.8902768,1959.2
57,HARTFORD,51,CT,Hartford,41.7645491,-72.6908673,12.8
58,MINNEAPOLIS-ST.PAUL,50.4,MN,Minneapolis-St.Paul,44.9227049,-93.0554921701938,213.1
59,GREEN BAY,49.9,WI,Green Bay,44.5126379,-88.0125794,181.1
60,ROCHESTER,49.6,MN,Rochester,44.0233269,-92.4630215,303.9
61,LANSING,49.4,MI,Lansing,42.7337712,-84.5553805,262
62,SPOKANE,49,WA,Spokane,47.6579425,-117.4212265,574.1
63,MILWAUKEE,48.7,WI,Milwaukee,43.0349931,-87.922497,184.7
64,ANNETTE,48.3,AK,Annette,55.0616667,-131.5416667,6.1
65,AVOCA,48.3,PA,Avoca,41.3398022,-75.7363033,
66,AKRON,48.1,OH,Akron,41.083064,-81.518485,287.7
67,KING SALMON,47.9,AK,King Salmon,58.6884337,-156.6618384,
68,FLINT,46.8,MI,Flint,43.0171773,-83.7236024,
69,MISSOULA,46.1,MT,Missoula,46.8700801,-113.9952796,
70,MANSFIELD,46.1,OH,Mansfield,40.75839,-82.5154471,378.2
71,MADISON,46,WI,Madison,43.074761,-89.3837613,281.5
72,HELENA,45.8,MT,Helena,46.592712,-112.036109,1233
73,MILFORD,45.1,UT,Milford,38.3969108,-113.0107892,1515.2
74,SAINT CLOUD,44.9,MN,Saint Cloud,45.5616075,-94.1642004,311.2
75,BISMARCK,44.9,ND,Bismarck,46.808327,-100.783739,516.4
76,BIG DELTA,44.8,AK,Big Delta,64.1528989,-145.8424896,303.5
77,PITTSBURGH,44.6,PA,Pittsburgh,40.4416941,-79.9900861,259.6
78,LA CROSSE,44.2,WI,La Crosse,43.8014053,-91.2395429,203.6
79,WILLISTON,43.8,ND,Williston,48.1465457,-103.621814,572.9
80,DUBUQUE,43.7,IA,Dubuque,42.5006217,-90.6647967,190.1
81,BOSTON,43.7,MA,Boston,42.3604823,-71.0595678,8.4
82,DETROIT,43.3,MI,Detroit,42.3486635,-83.0567375,189
83,FARGO,42.4,ND,Fargo,46.877229,-96.789821,275.1
84,BARTER IS. ,42.1,AK,Barter Is. ,70.1115225,-143.659631386753,10.5
85,POCATELLO,41.9,ID,Pocatello,42.8688613,-112.4401098,1361.3
86,SCOTTSBLUFF,41.6,NE,Scottsbluff,41.866634,-103.667166,1185.6
87,SIOUX FALLS,41.6,SD,Sioux Falls,43.5499749,-96.700327,448.8
88,WILLIAMSPORT,41.4,PA,Williamsport,41.2493292,-77.0027671,166.5
89,BURNS,41.3,OR,Burns,43.5862607,-119.0541032,1265.5
90,HURON,41.2,SD,Huron,44.36308,-98.214388,390.4
91,RAPID CITY,41.2,SD,Rapid City,44.081176,-103.228006,986.3
92,COLORADO SPRINGS,40.8,CO,Colorado Springs,38.8339578,-104.8253485,1831.7
93,CHICAGO,39.5,IL,Chicago,41.8755546,-87.6244212,180.6
94,ELKO,39.5,NV,Elko,40.8324212,-115.7631233,1544.1
95,TOLEDO,38.2,OH,Toledo,41.6786754,-83.5127283,184
96,UNALAKLEET,38,AK,Unalakleet,63.8730556,-160.7880556,6.1
97,ABERDEEN,37.8,SD,Aberdeen,45.4649805,-98.487813,398.2
98,GOODLAND,37.1,KS,Goodland,39.350833,-101.7101722,1122.5
99,PROVIDENCE,36.7,RI,Providence,41.8239891,-71.4128343,2.8
100,ROCKFORD,36.1,IL,Rockford,42.2713945,-89.093966,218.6
101,MIDDLETOWN/HARRISBURG,34.7,IA,Middletown/Harrisburg,NaN,NaN,218.6
102,DES MOINES,34.5,IA,Des Moines,41.5910641,-93.6037149,273.6
103,HARRISBURG,34.3,PA,Harrisburg,40.2663107,-76.8861122,102
104,CHARLESTON,33.9,WV,Charleston,38.3505995,-81.6332812,181.6
105,VALENTINE,33.7,NE,Valentine,42.8727833,-100.5509669,786.8
106,FORT WAYNE,33.6,IN,Fort Wayne,41.0799898,-85.1386015,233.8
107,WATERLOO,33.5,IA,Waterloo,42.4982858,-92.3368691,256.9
108,ALLENTOWN,33.5,PA,Allentown,40.6022059,-75.4712794,111.3
109,SIOUX CITY,33.2,IA,Sioux City,42.4966815,-96.4058782,339.5
110,GLASGOW,32.9,MT,Glasgow,48.196959,-106.636717,637
111,ALAMOSA,32.5,CO,Alamosa,37.469877,-105.8696009,2299.6
112,PUEBLO,32.5,CO,Pueblo,38.2544472,-104.609141,1425.5
113,BARROW,31.9,AK,Barrow,71.2905556,-156.7886112,3
114,MOLINE,31.6,IL,Moline,41.5067003,-90.5151342,176.7
115,OMAHA (NORTH),31.2,NE,Omaha (North),41.2587317,-95.9378732,321.4
116,NORFOLK,31,NE,Norfolk,42.0283379,-97.4169964,464.9
117,OMAHA EPPLEY AP,30.8,NE,Omaha Eppley Ap,NaN,NaN,464.9
118,NORTH PLATTE,30.7,NE,North Platte,41.1238873,-100.7654232,853.2
119,GRAND ISLAND,30.6,NE,Grand Island,40.924271,-98.338685,566.5
120,NEWARK,29.5,NJ,Newark,40.735657,-74.1723667,9.8
121,NEW YORK C.PARK,29.4,NY,New York C.Park,NaN,NaN,9.8
122,LINCOLN,28.9,NE,Lincoln,40.8,-96.667821,
123,COLUMBUS,28.9,OH,Columbus,39.9622601,-83.0007065,
124,ISLIP,28.3,NY,Islip,40.7304311,-73.2108618,
125,DAYTON,28,OH,Dayton,39.7589478,-84.1916069,
126,NEW YORK (LAGUARDIA AP),27.7,NY,New York (Laguardia Ap),NaN,NaN,
127,BRIDGEPORT,27.5,CT,Bridgeport,41.1670412,-73.2048348,
128,PEORIA,26.1,IL,Peoria,40.6938609,-89.5891008,153
129,YAKIMA,25.9,WA,Yakima,46.601557,-120.5108421,
130,HUNTINGTON,25.2,WV,Huntington,38.4192496,-82.445154,
131,RENO,25.1,NV,Reno,39.52927,-119.8136744,1371.9
132,INDIANAPOLIS,24.6,IN,Indianapolis,39.7683331,-86.1583502,219
133,NEW YORK (JFK AP),24.5,NY,New York (Jfk Ap),NaN,NaN,219
134,JACKSON,24.3,KY,Jackson,37.4200233,-83.9913882,405.2
135,GREATER CINCINNATI,24.2,KY,Greater Cincinnati,39.0503326,-84.6651261159433,265.4
136,WINNEMUCCA,24,NV,Winnemucca,40.9729584,-117.7356849,1308.2
137,WASHINGTON DULLES AP,23.9, D,Washington Dulles Ap.C,NaN,NaN,1308.2
138,SPRINGFIELD,23.5,IL,Springfield,39.7989763,-89.6443688,183.5
139,GRAND JUNCTION,23.4,CO,Grand Junction,39.063956,-108.5507317,1400
140,CLAYTON,23.4,NM,Clayton,36.451329,-103.1857926,1540.8
141,COLUMBIA,22.9,MO,Columbia,38.951883,-92.3337366,215.5
142,ROANOKE,22.8,VA,Roanoke,37.274532,-79.9602096795782,311.2
143,CONCORDIA,22.3,KS,Concordia,39.571543,-97.661141,418.6
144,PHILADELPHIA,22.3,PA,Philadelphia,39.9523993,-75.1635899,15
145,WILMINGTON,22.1,DE,Wilmington,39.7459468,-75.546589,28.6
146,BALTIMORE,22,MD,Baltimore,39.2908816,-76.610759,6.7
147,TOPEKA,21,KS,Topeka,39.049011,-95.677556,285
148,BOISE,20.7,ID,Boise,43.61656,-116.200835,824.3
